Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
tig00000001_polypolish	cds	16512	17075	-	NHFMJM_00095	msrA	Peptide methionine sulfoxide reductase MsrA	COG:COG0225, COG:O, SO:0001217, UniRef:UniRef50_D5RPH1, UniRef:UniRef90_A0A5A7MCD3
tig00000001_polypolish	cds	17199	18461	+	NHFMJM_00100		hypothetical protein	
tig00000001_polypolish	cds	18624	19160	-	NHFMJM_00105		hypothetical protein	
tig00000001_polypolish	cds	19187	19783	-	NHFMJM_00110		hypothetical protein	
tig00000001_polypolish	cds	20657	21181	-	NHFMJM_00115		hypothetical protein	
tig00000001_polypolish	cds	22168	23448	+	NHFMJM_00120	acrA	RND family efflux transporter, MFP subunit	COG:COG0845, COG:MV, SO:0001217, UniRef:UniRef50_A0A1I1AW01, UniRef:UniRef90_A0A0K6HRW9
tig00000001_polypolish	cds	23449	26703	+	NHFMJM_00125	acrB	Efflux RND transporter permease subunit	COG:COG0841, COG:V, SO:0001217, UniRef:UniRef50_V5ABR5, UniRef:UniRef90_A0A096DTB1
tig00000001_polypolish	cds	26726	27436	+	NHFMJM_00130	pcm	L-isoaspartyl protein carboxyl methyltransferase	COG:COG2518, COG:O, RefSeq:WP_114862508.1, SO:0001217, UniParc:UPI000E0C7A56, UniRef:UniRef100_A0A370F2L0, UniRef:UniRef50_A0A4D4JKT7, UniRef:UniRef90_A0A1Y1J182
tig00000001_polypolish	cds	27553	27900	+	NHFMJM_00135	pspE	Sulfurtransferase	COG:COG0607, COG:P, RefSeq:WP_182287019.1, SO:0001217, UniParc:UPI0015FCFE00, UniRef:UniRef100_UPI0015FCFE00, UniRef:UniRef50_A0A645GUG5, UniRef:UniRef90_A0A096F2N9
tig00000001_polypolish	cds	27973	29430	+	NHFMJM_00140	tolC	Type I secretion outer membrane protein, TolC family	COG:COG1538, COG:M, SO:0001217, UniRef:UniRef50_A0A0Q6N312, UniRef:UniRef90_A0A0K6HRV8
tig00000001_polypolish	cds	29565	30848	-	NHFMJM_00145		3-deoxy-D-manno-octulosonic acid transferase	SO:0001217, UniRef:UniRef50_A0A0U3EA98, UniRef:UniRef90_A0A0L7N2J8
tig00000001_polypolish	cds	30885	32273	-	NHFMJM_00150	manB	Phosphoglucomutase	COG:COG1109, COG:G, SO:0001217, UniRef:UniRef50_A0A0H2M3Y9, UniRef:UniRef90_A0A096F1N6
tig00000001_polypolish	cds	32476	34368	-	NHFMJM_00155	acs,prpE	Acetyl-CoA synthetase	COG:COG0365, COG:I, SO:0001217, UniRef:UniRef50_P77495, UniRef:UniRef90_A0A076PU74
tig00000001_polypolish	cds	34732	35334	-	NHFMJM_00160	pncA	Isochorismatase hydrolase	COG:COG1335, COG:HR, SO:0001217, UniRef:UniRef50_A0A6H2H7Z6, UniRef:UniRef90_D0IVU5
tig00000001_polypolish	cds	35684	36334	+	NHFMJM_00165	nlpC	NLP/P60 protein	COG:COG0791, COG:M, SO:0001217, UniParc:UPI0006A85922, UniRef:UniRef100_A0A0K6HRU3, UniRef:UniRef50_A0A5C8J6L3, UniRef:UniRef90_B7WUP0
tig00000001_polypolish	cds	36532	36783	+	NHFMJM_00170	yeaQ	Transglycosylase-associated protein	COG:COG2261, COG:R, RefSeq:WP_003079200.1, SO:0001217, UniParc:UPI0001BB156B, UniRef:UniRef100_A0A7M1KV09, UniRef:UniRef50_F5XZE1, UniRef:UniRef90_B7WUP1
tig00000001_polypolish	cds	36850	37455	+	NHFMJM_00175		hypothetical protein	SO:0001217, UniRef:UniRef50_A9BWS4, UniRef:UniRef90_A0A5D9ANM4
tig00000001_polypolish	cds	37486	37974	+	NHFMJM_00180	eVE	EVE domain-containing protein	COG:COG2947, COG:R, SO:0001217, UniRef:UniRef50_A0A0Q4RWU4, UniRef:UniRef90_A0A0L7N2L0
tig00000001_polypolish	cds	38264	39676	+	NHFMJM_00185	potE	Putrescine/spermidine ABC transporter	COG:COG0531, COG:E, SO:0001217, UniRef:UniRef50_N8YEM2, UniRef:UniRef90_A0A5A7MCH7
tig00000001_polypolish	cds	39813	40862	+	NHFMJM_00190	ygaE	Membrane protein-like protein	COG:COG4129, COG:S, SO:0001217, UniRef:UniRef50_A0A379CSJ5, UniRef:UniRef90_D0IVT9
tig00000001_polypolish	cds	40911	42665	-	NHFMJM_00195	ytcJ	Amidohydro-3 domain-containing protein	COG:COG1574, COG:R, SO:0001217, UniRef:UniRef50_A0A2C9EKS3, UniRef:UniRef90_A0A370EYP7
tig00000001_polypolish	cds	42832	44055	-	NHFMJM_00200		Major facilitator superfamily MFS_1	SO:0001217, UniRef:UniRef50_D0IVT7
tig00000001_polypolish	cds	44373	45212	-	NHFMJM_00205		Diketogulonate reductase-like aldo/keto reductase	SO:0001217, UniRef:UniRef50_A0A095T7B5, UniRef:UniRef90_A0A370EZL1
tig00000001_polypolish	cds	45427	46278	+	NHFMJM_00210		Uncharacterized membrane-anchored protein	COG:COG4714, COG:S, SO:0001217, UniRef:UniRef50_A1TQ04, UniRef:UniRef90_B7WUP9
tig00000001_polypolish	cds	46366	47118	+	NHFMJM_00215		hypothetical protein	SO:0001217, UniRef:UniRef50_D0IVT3, UniRef:UniRef90_A0A0L7N370
tig00000001_polypolish	cds	47181	47495	+	NHFMJM_00220		RNA polymerase subunit sigma-32	COG:COG4390, COG:S, RefSeq:WP_034376060.1, SO:0001217, UniParc:UPI00050FC123, UniRef:UniRef100_A0A096F1M1, UniRef:UniRef50_A1K3W4, UniRef:UniRef90_B7WUQ1
tig00000001_polypolish	cds	47502	48731	-	NHFMJM_00225		Diguanylate cyclase	SO:0001217, UniRef:UniRef50_A0A5A7MEQ8, UniRef:UniRef90_A0A096GG78
tig00000001_polypolish	cds	48905	50065	-	NHFMJM_00230	ybdK	Putative glutamate--cysteine ligase 2	COG:COG2170, COG:O, SO:0001217, UniRef:UniRef50_Q2T2K3, UniRef:UniRef90_A0A076PU57
tig00000001_polypolish	cds	50055	51338	-	NHFMJM_00235		Sodium/hydrogen exchanger	SO:0001217, UniRef:UniRef50_A0A5A7MCI6, UniRef:UniRef90_A0A076PQ65
tig00000001_polypolish	cds	51736	52911	-	NHFMJM_00240	abgB	Amidohydrolase	COG:COG1473, COG:R, SO:0001217, UniRef:UniRef50_T2L685, UniRef:UniRef90_B7WUQ5
tig00000001_polypolish	cds	52927	54270	-	NHFMJM_00245		DUF3100 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A4R3UVS5, UniRef:UniRef90_B7WUQ6
tig00000001_polypolish	cds	54448	55398	+	NHFMJM_00250	lysR	DNA-binding transcriptional regulator, LysR family	COG:COG0583, COG:K, SO:0001217, UniRef:UniRef50_A0A0K6HRZ5, UniRef:UniRef90_A0A0K6HRZ5
tig00000001_polypolish	cds	55596	56237	+	NHFMJM_00255		DUF2621 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0R0MEK1, UniRef:UniRef90_A0A2G6ZPE2
tig00000001_polypolish	cds	56345	57412	+	NHFMJM_00260	moxR	ATPase associated with various cellular	COG:COG0714, COG:R, SO:0001217, UniRef:UniRef50_C0Z5D4, UniRef:UniRef90_D0IVS6
tig00000001_polypolish	cds	57412	59268	+	NHFMJM_00265		DUF2201 domain-containing protein	COG:COG3864, COG:R, SO:0001217, UniRef:UniRef50_A0A076PT13, UniRef:UniRef90_A0A076PT13
tig00000001_polypolish	cds	59278	59679	-	NHFMJM_00270		DUF4440 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A363RN90, UniRef:UniRef90_A0A370EYP4
tig00000001_polypolish	cds	59676	61034	-	NHFMJM_00275		Multidrug resistance protein B	SO:0001217, UniRef:UniRef50_N8WSN9, UniRef:UniRef90_A0A1Y1J0X6
tig00000001_polypolish	cds	61123	62034	+	NHFMJM_00280		LysR family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A0C5EUB1, UniRef:UniRef90_A0A0L7N2M7
tig00000001_polypolish	cds	62120	62587	+	NHFMJM_00285	phnA	Alkylphosphonate utilization operon protein	COG:COG2824, COG:R, SO:0001217, UniRef:UniRef50_M5CQL8, UniRef:UniRef90_D0IVS4
tig00000001_polypolish	cds	63320	64720	+	NHFMJM_00290	uhpC	Major facilitator superfamily MFS_1	COG:COG2271, COG:G, SO:0001217, UniRef:UniRef50_A0A1Y1ITN0, UniRef:UniRef90_B7WUR1
tig00000001_polypolish	cds	64862	66448	-	NHFMJM_00295		hypothetical protein	
tig00000001_polypolish	cds	66951	67427	-	NHFMJM_00300		CENP-V/GFA domain-containing protein	COG:COG3791, COG:S, SO:0001217, UniRef:UniRef50_K0HUX5, UniRef:UniRef90_A0A370EYM7
tig00000001_polypolish	cds	67708	68928	+	NHFMJM_00305		ISL3 family transposase	SO:0001217, UniRef:UniRef50_Q06126, UniRef:UniRef90_A0A240U4T7
tig00000001_polypolish	cds	69023	70864	-	NHFMJM_00310	lpdA	Dihydrolipoyl dehydrogenase	COG:C, COG:COG1249, SO:0001217, UniRef:UniRef50_A0A2D7XEC3, UniRef:UniRef90_A0A373FUG9
tig00000001_polypolish	cds	70959	71843	-	NHFMJM_00315		hypothetical protein	SO:0001217, UniRef:UniRef50_B7WUS0, UniRef:UniRef90_B7WUS0
tig00000001_polypolish	cds	71950	73644	-	NHFMJM_00320		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	SO:0001217, UniRef:UniRef50_P45118
tig00000001_polypolish	cds	73663	76377	-	NHFMJM_00325	aceE	Pyruvate dehydrogenase E1 component	COG:C, COG:COG2609, RefSeq:WP_003079261.1, SO:0001217, UniParc:UPI0002464573, UniRef:UniRef100_A0A370F0M4, UniRef:UniRef50_A0A6P2FHE0, UniRef:UniRef90_A0A0W7Z4A3
tig00000001_polypolish	cds	76687	79254	+	NHFMJM_00330		Histidine kinase	COG:COG4191, COG:T, SO:0001217, UniRef:UniRef50_H5WLS5, UniRef:UniRef90_A0A2G6ZPY1
tig00000001_polypolish	cds	79251	79904	+	NHFMJM_00335	fixJ	Response regulator involved in catabolite control	COG:COG4566, COG:TK, RefSeq:WP_003055354.1, SO:0001217, UniParc:UPI00018BFCA8, UniRef:UniRef100_A0A096F1K1, UniRef:UniRef50_A0A239SK35, UniRef:UniRef90_Q1HAX0
tig00000001_polypolish	cds	80053	80907	+	NHFMJM_00340	folD	Bifunctional protein FolD	COG:COG0190, COG:H, GO:0000105, GO:0004477, GO:0004488, GO:0006164, GO:0009086, GO:0035999, SO:0001217, UniRef:UniRef50_Q9CH85, UniRef:UniRef90_A9BWT7
tig00000001_polypolish	cds	81107	83158	+	NHFMJM_00345	dcp	Oligopeptidase A	COG:COG0339, COG:O, SO:0001217, UniRef:UniRef50_E6PWA6, UniRef:UniRef90_B7WUS6
tig00000001_polypolish	cds	83207	84079	+	NHFMJM_00350		Glutaredoxin domain-containing protein	SO:0001217, UniRef:UniRef50_A0A5N7WKW1, UniRef:UniRef90_A0A1Y1J445
tig00000001_polypolish	cds	84197	84895	-	NHFMJM_00355	rpiA	Ribose-5-phosphate isomerase A	COG:COG0120, COG:G, SO:0001217, UniRef:UniRef50_Q21WC3, UniRef:UniRef90_B7WUS8
tig00000001_polypolish	cds	84930	85976	+	NHFMJM_00360	pyrD	Dihydroorotate dehydrogenase (quinone)	COG:COG0167, COG:F, SO:0001217, UniRef:UniRef50_Q129L9, UniRef:UniRef90_D0IVQ8
tig00000001_polypolish	cds	86054	86428	-	NHFMJM_00365		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A5N7WHT1, UniRef:UniRef90_B7WUT0
tig00000001_polypolish	cds	86430	86825	-	NHFMJM_00370	yqjE	Membrane protein	COG:COG5393, COG:S, SO:0001217, UniRef:UniRef50_A0A076PJ91, UniRef:UniRef90_A0A076PJ91
tig00000001_polypolish	cds	86857	87168	-	NHFMJM_00375	elaB	DUF883 domain-containing protein	COG:COG4575, COG:J, RefSeq:WP_003079290.1, SO:0001217, UniParc:UPI000246457C, UniRef:UniRef100_A0A370F0L7, UniRef:UniRef50_A0A349WC82, UniRef:UniRef90_A0A0E3BU74
tig00000001_polypolish	cds	87762	88610	+	NHFMJM_00380	hybA	Tetrathionate reductase subunit B	COG:C, COG:COG0437, SO:0001217, UniRef:UniRef50_A0A0B8PCF9, UniRef:UniRef90_A0A0M2DMF9
tig00000001_polypolish	cds	88624	89664	+	NHFMJM_00385		Tetrathionate reductase subunit C	SO:0001217, UniRef:UniRef50_A1W8K9, UniRef:UniRef90_A0A5A7MBX7
tig00000001_polypolish	cds	89772	92978	+	NHFMJM_00390	bisC	Tetrathionate reductase subunit TtrA	COG:C, COG:COG0243, SO:0001217, UniRef:UniRef50_A0A446CQ77, UniRef:UniRef90_A0A5N7WHM9
tig00000001_polypolish	cds	93719	94393	+	NHFMJM_00395		hypothetical protein	SO:0001217, UniRef:UniRef50_D0IVQ1, UniRef:UniRef90_D0IVQ1
tig00000001_polypolish	cds	94476	95186	+	NHFMJM_00400		hypothetical protein	
tig00000001_polypolish	cds	95571	96110	+	NHFMJM_00405		DUF1697 domain-containing protein	COG:COG3797, COG:S, SO:0001217, UniRef:UniRef50_A0A0Q8CR36, UniRef:UniRef90_D0IVP9
tig00000001_polypolish	cds	96199	96828	-	NHFMJM_00410		ABC-type sugar transport system	SO:0001217, UniRef:UniRef50_A0A1Y1J4L5, UniRef:UniRef90_A0A1Y1J4L5
tig00000001_polypolish	cds	97732	98724	+	NHFMJM_00415	lysR	HTH lysR-type domain-containing protein	COG:COG0583, COG:K, SO:0001217, UniRef:UniRef50_A0A1Y1J110, UniRef:UniRef90_A0A1Y1J110
tig00000001_polypolish	cds	98849	100525	+	NHFMJM_00420		ABC transporter ATP-binding protein	SO:0001217, UniRef:UniRef50_A0A2E9SMI5
tig00000001_polypolish	cds	100598	101008	-	NHFMJM_00425		hypothetical protein	SO:0001217, UniRef:UniRef50_D0IVP4, UniRef:UniRef90_A0A0L7N2P4
tig00000001_polypolish	cds	101326	101526	+	NHFMJM_00430		hypothetical protein	
tig00000001_polypolish	cds	101530	101943	+	NHFMJM_00435		hypothetical protein	
tig00000001_polypolish	cds	101897	102229	+	NHFMJM_00440		hypothetical protein	
tig00000001_polypolish	cds	102627	104276	-	NHFMJM_00445		Long-chain fatty acid--CoA ligase	SO:0001217, UniRef:UniRef50_A0A1F2Q4N8, UniRef:UniRef90_A0A0L7N3P7
tig00000001_polypolish	cds	104308	104940	-	NHFMJM_00450		TetR family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A096F2J3, UniRef:UniRef90_A0A096F2J3
tig00000001_polypolish	cds	105081	105998	+	NHFMJM_00455		Enoyl-CoA hydratase	SO:0001217, UniRef:UniRef50_A0A2R3IX17, UniRef:UniRef90_A0A096F322
tig00000001_polypolish	cds	106061	106342	-	NHFMJM_00460	ykvA	DUF1232 domain-containing protein	COG:COG3339, COG:S, SO:0001217, UniRef:UniRef50_B7WUU6, UniRef:UniRef90_A0A1Y1J6T3
tig00000001_polypolish	cds	106511	107044	-	NHFMJM_00465	mnaT	GCN5-related N-acetyltransferase	COG:COG1247, COG:E, SO:0001217, UniRef:UniRef50_A0A0H2M0C2, UniRef:UniRef90_B7WUU7
tig00000001_polypolish	cds	107190	107615	+	NHFMJM_00470	mopI	Molybdenum-pterin binding protein	COG:COG3585, COG:H, SO:0001217, UniRef:UniRef50_D6CQV9, UniRef:UniRef90_D0IVP1
tig00000001_polypolish	cds	107615	107776	+	NHFMJM_00475		hypothetical protein	
tig00000001_polypolish	cds	107837	108097	+	NHFMJM_00480		hypothetical protein	
tig00000001_polypolish	cds	108190	109317	-	NHFMJM_00485		SUFU domain-containing protein	SO:0001217, UniRef:UniRef50_D0IVN9, UniRef:UniRef90_D0IVN9
tig00000001_polypolish	cds	109417	111825	-	NHFMJM_00490		DNA helicase	SO:0001217, UniRef:UniRef50_A0A3N0VLG7
tig00000001_polypolish	cds	111822	113591	-	NHFMJM_00495		Fanconi-associated nuclease	SO:0001217, UniRef:UniRef50_A0A1Y0ETJ7, UniRef:UniRef90_D0IVN7
tig00000001_polypolish	cds	113708	114037	+	NHFMJM_00500	yurZ	Alkylhydroperoxidase like protein, AhpD family	COG:COG0599, COG:R, SO:0001217, UniRef:UniRef50_A0A0R2ZMY3, UniRef:UniRef90_B7WUV2
tig00000001_polypolish	cds	114088	116001	-	NHFMJM_00505	kup,trkD	putative potassium transport system protein kup	COG:COG3158, COG:P, SO:0001217, UniRef:UniRef50_A0A5C7K2K5, UniRef:UniRef90_B7WUV3
tig00000001_polypolish	cds	116220	117002	+	NHFMJM_00510	guaA1	Glutamine amidotransferase type-1 domain-containing protein	COG:COG0518, COG:F, SO:0001217, UniRef:UniRef50_D0IVN4, UniRef:UniRef90_D0IVN4
tig00000001_polypolish	cds	117129	117893	+	NHFMJM_00515	ywqG	DUF1963 domain-containing protein	COG:COG3878, COG:S, SO:0001217, UniRef:UniRef50_D0IVN3, UniRef:UniRef90_D0IVN3
tig00000001_polypolish	cds	117931	118635	+	NHFMJM_00520	rplL	Ribosomal protein L7/L12 C-terminal domain	COG:COG0222, COG:J, SO:0001217, UniRef:UniRef50_A0A0K6HRB1, UniRef:UniRef90_A0A0K6HRB1
tig00000001_polypolish	cds	118691	120139	-	NHFMJM_00525	tolC	RND efflux system, outer membrane lipoprotein	COG:COG1538, COG:M, SO:0001217, UniRef:UniRef50_A0A2A7V0P3, UniRef:UniRef90_D0IVN1
tig00000001_polypolish	cds	120136	121359	-	NHFMJM_00530	emrA	HlyD family secretion protein	COG:COG1566, COG:V, SO:0001217, UniRef:UniRef50_N2JD58, UniRef:UniRef90_A0A4Y8TQJ3
tig00000001_polypolish	cds	121376	123556	-	NHFMJM_00535		MFS domain-containing protein	SO:0001217, UniRef:UniRef50_A0A5A7MCI7, UniRef:UniRef90_A0A5A7MCI7
tig00000001_polypolish	cds	123562	124110	-	NHFMJM_00540	acrR	Transcriptional regulator, TetR family	COG:COG1309, COG:K, SO:0001217, UniRef:UniRef50_A0A0Q5HTL3, UniRef:UniRef90_D0IVM8
tig00000001_polypolish	cds	124201	125118	-	NHFMJM_00545	rluA	PseudoU-synth-2 domain-containing protein	COG:COG0564, COG:J, SO:0001217, UniRef:UniRef50_A0A1J5PE73, UniRef:UniRef90_A0A5A7MFE3
tig00000001_polypolish	cds	125267	126262	-	NHFMJM_00550	tctC	Tripartite-type tricarboxylate transporter, extracytoplasmic receptor component TctC	COG:C, COG:COG3181, SO:0001217, UniRef:UniRef50_D0IVM6, UniRef:UniRef90_D0IVM6
tig00000001_polypolish	cds	126292	127407	-	NHFMJM_00555		FHA domain-containing protein	SO:0001217, UniRef:UniRef50_A0A6J5EZI7, UniRef:UniRef90_D0IVM5
tig00000001_polypolish	cds	127521	128471	+	NHFMJM_00560	lysR	DNA-binding transcriptional regulator, LysR family	COG:COG0583, COG:K, SO:0001217, UniRef:UniRef50_A0A1D8J6C7, UniRef:UniRef90_A0A0K6HR47
tig00000001_polypolish	cds	128755	130968	+	NHFMJM_00565	asmA	AsmA	COG:COG2982, COG:M, SO:0001217, UniRef:UniRef50_D0IVM3, UniRef:UniRef90_D0IVM3
tig00000001_polypolish	cds	131152	132702	-	NHFMJM_00570		methyl-accepting chemotaxis protein	COG:COG0840, COG:T, RefSeq:WP_053282234.1, SO:0001217, UniParc:UPI0006A4FCA0, UniRef:UniRef100_A0A0L7N2R3, UniRef:UniRef50_A0A016XJ26, UniRef:UniRef90_D0IVL9
tig00000001_polypolish	cds	132967	133755	-	NHFMJM_00575	caiD	Enoyl-CoA hydratase	COG:COG1024, COG:I, RefSeq:WP_053282152.1, SO:0001217, UniParc:UPI0006A4B451, UniRef:UniRef100_A0A0L7N2S9, UniRef:UniRef50_A0A3E2N328, UniRef:UniRef90_A0A0L7N2S9
tig00000001_polypolish	cds	133786	134823	-	NHFMJM_00580	caiA	Acyl-CoA dehydrogenase-like protein	COG:COG1960, COG:I, SO:0001217, UniRef:UniRef50_A0A0H4VWR0, UniRef:UniRef90_D0IVL7
tig00000001_polypolish	cds	134838	135995	-	NHFMJM_00585	caiA	Acyl-CoA dehydrogenase-like protein	COG:COG1960, COG:I, RefSeq:WP_053282154.1, SO:0001217, UniParc:UPI0006A43E44, UniRef:UniRef100_A0A0L7N2S0, UniRef:UniRef50_X5MP01, UniRef:UniRef90_D0IVL6
tig00000001_polypolish	cds	136010	137002	-	NHFMJM_00590	tctC	TctC	COG:C, COG:COG3181, SO:0001217, UniRef:UniRef50_A0A2T7UFQ2, UniRef:UniRef90_D0IVL5
tig00000001_polypolish	cds	137082	137591	-	NHFMJM_00595	maoC	Acyl-CoA dehydratase PaaZ	COG:COG2030, COG:I, SO:0001217, UniRef:UniRef50_B3R8Q6, UniRef:UniRef90_D0IVL4
tig00000001_polypolish	cds	137617	138846	-	NHFMJM_00600	caiB	L-carnitine dehydratase/bile acid-inducible	COG:COG1804, COG:I, SO:0001217, UniRef:UniRef50_A0A6S7C2F8, UniRef:UniRef90_D0IVL3
tig00000001_polypolish	cds	138843	140090	-	NHFMJM_00605	caiB	L-carnitine dehydratase/bile acid-inducible	COG:COG1804, COG:I, RefSeq:WP_053282158.1, SO:0001217, UniParc:UPI0006A41467, UniRef:UniRef100_A0A0L7N3R4, UniRef:UniRef50_A0A0M7BCN3, UniRef:UniRef90_D0IVL2
tig00000001_polypolish	cds	140087	141067	-	NHFMJM_00610		TctC	SO:0001217, UniRef:UniRef50_A0A0E9LKM8, UniRef:UniRef90_D0IVL1
tig00000001_polypolish	cds	141182	142090	+	NHFMJM_00615	lysR	DNA-binding transcriptional regulator, LysR family	COG:COG0583, COG:K, SO:0001217, UniRef:UniRef50_A0A6G8CV85, UniRef:UniRef90_A0A0E3BRZ6
tig00000001_polypolish	cds	142127	145537	-	NHFMJM_00620	dnaE	Error-prone DNA polymerase	COG:COG0587, COG:L, SO:0001217, UniRef:UniRef50_A0A368XP09, UniRef:UniRef90_A0A5N7WHT4
tig00000001_polypolish	cds	145530	147062	-	NHFMJM_00625		Protein ImuB	SO:0001217, UniRef:UniRef50_A0A2T6JEG6, UniRef:UniRef90_A0A076PM50
tig00000001_polypolish	cds	147064	147987	-	NHFMJM_00630		Translesion DNA synthesis-associated protein ImuA	SO:0001217, UniRef:UniRef50_A0A5N7WMV8, UniRef:UniRef90_A0A0L7N3R9
tig00000001_polypolish	cds	148271	149623	-	NHFMJM_00635	hDGYP	HD-GYP domain-containing protein	COG:COG2206, COG:T, SO:0001217, UniRef:UniRef50_A0A5A7MEY6, UniRef:UniRef90_A0A5A7MEY6
tig00000001_polypolish	cds	149821	150459	-	NHFMJM_00640	atoA	3-oxoacid CoA-transferase, B subunit	COG:COG2057, COG:I, SO:0001217, UniRef:UniRef50_P56007, UniRef:UniRef90_A0A096ECH8
tig00000001_polypolish	cds	150490	150966	-	NHFMJM_00645		DUF3806 domain-containing protein	SO:0001217, UniRef:UniRef50_D0IVK4, UniRef:UniRef90_D0IVK4
tig00000001_polypolish	cds	150970	151668	-	NHFMJM_00650	atoD	3-oxoacid CoA-transferase, A subunit	COG:COG1788, COG:I, SO:0001217, UniRef:UniRef50_P56006, UniRef:UniRef90_B7WVM2
tig00000001_polypolish	cds	151743	152285	+	NHFMJM_00655	fixJ	PAS and helix-turn-helix domain-containing protein	COG:COG4566, COG:TK, SO:0001217, UniRef:UniRef50_A0A1W6YUN8, UniRef:UniRef90_A0A7X9YCD5
tig00000001_polypolish	cds	152629	154830	+	NHFMJM_00660	katG	Catalase-peroxidase	COG:COG0376, COG:P, SO:0001217, UniRef:UniRef50_P14412, UniRef:UniRef90_D0IVK1
tig00000001_polypolish	cds	154938	155186	-	NHFMJM_00665		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A076PST3, UniRef:UniRef90_A0A096H5V6
tig00000001_polypolish	cds	155342	155812	+	NHFMJM_00670		CopD domain-containing protein	COG:COG5615, COG:S, SO:0001217, UniRef:UniRef50_D0IVJ9, UniRef:UniRef90_D0IVJ9
tig00000001_polypolish	cds	156015	156608	+	NHFMJM_00675	marR	HTH marR-type domain-containing protein	COG:COG1846, COG:K, SO:0001217, UniRef:UniRef50_A0A5A7MCP9, UniRef:UniRef90_A0A5A7MCP9
tig00000001_polypolish	cds	156669	158153	+	NHFMJM_00680	tolC	RND transporter	COG:COG1538, COG:M, SO:0001217, UniRef:UniRef50_A0A542RTM8, UniRef:UniRef90_A0A0L7N3S9
